Data,Cotação
26.07.2019,3.7946
25.07.2019,3.8068
24.07.2019,3.7797
23.07.2019,3.7794
22.07.2019,3.7481
19.07.2019,3.7550
18.07.2019,3.7645
17.07.2019,3.7692
16.07.2019,3.7717
15.07.2019,3.7588
14.07.2019,3.7413
12.07.2019,3.7644
11.07.2019,3.7675
10.07.2019,3.7942
09.07.2019,3.8076
08.07.2019,3.8179
05.07.2019,3.8386
04.07.2019,3.8293
03.07.2019,3.8758
02.07.2019,3.8813
01.07.2019,3.8488
28.06.2019,3.8520
27.06.2019,3.8728
26.06.2019,3.8590
25.06.2019,3.8590
24.06.2019,3.8381
21.06.2019,3.8458
20.06.2019,3.8397
19.06.2019,3.8840
18.06.2019,3.8899
17.06.2019,3.9245
16.06.2019,3.8977
14.06.2019,3.9135
13.06.2019,3.8675
12.06.2019,3.8723
11.06.2019,3.8870
10.06.2019,3.9003
07.06.2019,3.8864
06.06.2019,3.8878
05.06.2019,3.9036
04.06.2019,3.8899
03.06.2019,3.9349
02.06.2019,3.9232
31.05.2019,3.9988
30.05.2019,3.9931
29.05.2019,4.0408
28.05.2019,4.0539
27.05.2019,4.0441
24.05.2019,4.0485
23.05.2019,4.0717
22.05.2019,4.0530
21.05.2019,4.1136
20.05.2019,4.1217
17.05.2019,4.1129
16.05.2019,4.0542
15.05.2019,4.0218
14.05.2019,3.9952
13.05.2019,4.0057
10.05.2019,3.9736
09.05.2019,3.9818
08.05.2019,3.9781
07.05.2019,4.0006
06.05.2019,3.9754
05.05.2019,3.9383
03.05.2019,3.9684
02.05.2019,3.9722
01.05.2019,3.9220
30.04.2019,3.9573
29.04.2019,3.9466
26.04.2019,3.9758
25.04.2019,4.0071
24.04.2019,3.9942
23.04.2019,3.9648
22.04.2019,3.9394
19.04.2019,3.9275
18.04.2019,3.9522
17.04.2019,3.9477
16.04.2019,3.9085
15.04.2019,3.8908
14.04.2019,3.8819
12.04.2019,3.9080
11.04.2019,3.8636
10.04.2019,3.8542
09.04.2019,3.8649
08.04.2019,3.8773
05.04.2019,3.8766
04.04.2019,3.8876
03.04.2019,3.8824
02.04.2019,3.8800
01.04.2019,3.8932
29.03.2019,3.9347
28.03.2019,4.0159
27.03.2019,4.0019
26.03.2019,3.8794
25.03.2019,3.9374
22.03.2019,3.9169
21.03.2019,3.8382
20.03.2019,3.7994
19.03.2019,3.8001
18.03.2019,3.8277
17.03.2019,3.8173
15.03.2019,3.8725
14.03.2019,3.8556
13.03.2019,3.8352
12.03.2019,3.8445
11.03.2019,3.8685
08.03.2019,3.9032
07.03.2019,3.9028
06.03.2019,3.8451
05.03.2019,3.7755
04.03.2019,3.7755
03.03.2019,3.7747
01.03.2019,3.7957
28.02.2019,3.7592
27.02.2019,3.7478
26.02.2019,3.7666
25.02.2019,3.7523
24.02.2019,3.7476
22.02.2019,3.7683
21.02.2019,3.7721
20.02.2019,3.7372
19.02.2019,3.7449
18.02.2019,3.7422
15.02.2019,3.7264
14.02.2019,3.7952
13.02.2019,3.7619
12.02.2019,3.7470
11.02.2019,3.7747
10.02.2019,3.7322
08.02.2019,3.7477
07.02.2019,3.7375
06.02.2019,3.7161
05.02.2019,3.6846
04.02.2019,3.6877
01.02.2019,3.6822
31.01.2019,3.6865
30.01.2019,3.7321
29.01.2019,3.7648
28.01.2019,3.7878
25.01.2019,3.7713
24.01.2019,3.7955
23.01.2019,3.8134
22.01.2019,3.8173
21.01.2019,3.7811
18.01.2019,3.7743
17.01.2019,3.7744
16.01.2019,3.7381
15.01.2019,3.7325
14.01.2019,3.7357
13.01.2019,3.7113
11.01.2019,3.7300
10.01.2019,3.7249
09.01.2019,3.7155
08.01.2019,3.7412
07.01.2019,3.7384
06.01.2019,3.7144
04.01.2019,3.7850
03.01.2019,3.8074
02.01.2019,3.8971
01.01.2019,3.8813
